"","Building","SQFT","Load","Base Loads","Cooling Loads","Heating Loads"
"84","Bala II",290011,"Diesel",0,276000,661319
"85","Bala II",290011,"Elect_kWH",445150.336454067,2857221.03569339,2631358.66003511
"86","Bala II",290011,"NGas",68048.95,516746.95,7132844.95
"87","Bala III",394764,"Elect_kWH",446652.823288473,2889233.54300761,3277190.374488
"88","Beverly Place",132289,"Elect_kWH",64455.9684025746,494905.251609128,405005.119953189
"89","Beverly Place",132289,"NGas",7121.1,31761.65,30747.25
"90","Chrysler East Building",770389,"Elect_kWH",715673.537156232,4348390.88648332,4638216.06202458
"91","Chrysler East Building",770389,"Steam_Mlb",544.97851758794,9897.65016750419,8017.81051088777
"92","CitySpire",370758,"Elect_kWH",669741.530134581,4507151.44821533,4455137.96079579
"93","CitySpire",370758,"NGas",12750,61454.35,78070.4
"94","CitySpire",370758,"Steam_Mlb",203.625041876047,8.65506700167504,4443.75569514238
"95","GAC",648000,"Elect_kWH",1386349.56114687,7311259.12814511,7737993.56348742
"96","GAC",648000,"Oil2",0,1805316,10641386.95
"97","Hearst Tower",839272,"Elect_kWH",980892.42246928,6301784.14277355,4485197.01579871
"98","Hearst Tower",839272,"NGas",131533.2,755033.4,648021.6
"99","Hearst Tower",839272,"Steam_Mlb",475.999958123953,4463.50004187605,14402.5296901173
"100","Hearst Warehouse",106583,"Elect_kWH",3600.55588063195,17862.7413692218,33796.7963721475
"101","Hearst Warehouse",106583,"NGas",1828.25,477701.2,3880423
"102","International Square",1167626,"Elect_kWH",1669142.11527209,9099803.8033938,11161362.3171445
"103","Longridge",313882,"Elect_kWH",419859.537741369,2160779.57870099,2350885.31304857
"104","Longridge",313882,"NGas",86684.95,2112652.55,14873366.45
"105","Maple Plaza",289542,"Elect_kWH",165271.737858397,1183767.05675834,882813.736102984
"106","Maple Plaza",289542,"NGas",67475.25,517096.1,452417
"107","Metlife Building",3091809,"Elect_kWH",3535062.37565828,19832853.3645407,22180643.6658865
"108","Metlife Building",3091809,"NGas",619548.15,2931754.1,3762981.2
"109","Metlife Building",3091809,"Steam_Mlb",5440.18844221106,76433.416080402,87746.7923366834
"110","One Bush",451725,"Elect_kWH",336024.414862493,2267854.812756,2710352.00409596
"111","One Bush",451725,"Steam_Mlb",366.725837520938,1935.80489949749,3144.60025125628
"112","One Channel Center",501650,"Elect_kWH",457668.329432417,2514863.50204798,2792738.50204798
"113","One Channel Center",501650,"NGas",106790.45,1227167.4,2418223.25
"114","One Channel Center Parking",342090,"Elect_kWH",20794.836161498,131369.938560562,295446.606202458
"115","One Federal",1118355,"Elect_kWH",1627388.32650673,8476308.87946167,9354874.21006436
"116","One Federal",1118355,"Steam_Mlb",373.419346733668,7370.53760469012,28811.2032663317
"117","Reston Crossing I",160938,"Elect_kWH",216239.745465184,1353594.14862493,1204744.03159743
"118","Reston Crossing I",160938,"NGas",8478.5,62287.3,201880.75
"119","Reston Crossing II",187255,"Elect_kWH",181431.451141018,982181.846108835,1371639.87712112
"120","Reston Crossing II",187255,"NGas",31156.6,218272.85,453693.1
"121","Sunset Tower Parking",110080,"Elect_kWH",8051.03861907548,52608.8209479228,46531.5242832065
"122","The Franklin",3117492,"Elect_kWH",3139639.59918081,19247767.3932124,26938958.0310123
"123","The Franklin",3117492,"NGas",76077.9,359854,462729.9
"124","The JACX",1188749,"Elect_kWH",70044.7630193095,526877.691632534,1098802.26740784
"125","The JACX",1188749,"NGas",210733.2,1859577.3,7720686.35
"126","Torrey Plaza (A)",60253,"Elect_kWH",13902.4136922177,72681.2024575775,80663.7507314219
"127","Torrey Plaza (A)",60253,"NGas",3927.9,31231.65,171581.4
"128","Torrey Plaza (B)",89132,"Elect_kWH",38818.7097717964,491809.172030427,298866.559391457
"129","Torrey Plaza (B)",89132,"NGas",24250,21650,78744
"130","Torrey Plaza (C)",75450,"Elect_kWH",77226.4335868929,577534.362200117,476861.029842013
"131","Torrey Plaza (C)",75450,"NGas",6600,5981,35851.5
