"","Building","use","SQFT","Elect_kWH","Steam_Mlb","NGas","Oil2","Oil4","Diesel"
"126","Bala I","Heating Loads",400386,3252184.66939731,0,8387999.15,632638,0,0
"127","Bala II","Base Loads",290011,445150.336454067,0,68048.95,0,0,0
"128","Bala II","Cooling Loads",290011,2857221.03569339,0,516746.95,0,0,276000
"129","Bala II","Heating Loads",290011,2631358.66003511,0,7132844.95,0,0,661319
"130","Bala III","Base Loads",394764,446652.823288473,0,0,0,0,0
"131","Bala III","Cooling Loads",394764,2889233.54300761,0,0,0,0,0
"132","Bala III","Heating Loads",394764,3277190.374488,0,0,0,0,0
"133","Beverly Place","Base Loads",132289,64455.9684025746,0,7121.1,0,0,0
"134","Beverly Place","Cooling Loads",132289,494905.251609128,0,31761.65,0,0,0
"135","Beverly Place","Heating Loads",132289,405005.119953189,0,30747.25,0,0,0
"136","Chrysler East Building","Base Loads",770389,715673.537156232,544.97851758794,0,0,0,0
"137","Chrysler East Building","Cooling Loads",770389,4348390.88648332,9897.65016750419,0,0,0,0
"138","Chrysler East Building","Heating Loads",770389,4638216.06202458,8017.81051088777,0,0,0,0
"139","CitySpire","Base Loads",370758,669741.530134581,203.625041876047,12750,0,0,0
"140","CitySpire","Cooling Loads",370758,4507151.44821533,8.65506700167504,61454.35,0,0,0
"141","CitySpire","Heating Loads",370758,4455137.96079579,4443.75569514238,78070.4,0,0,0
"142","GAC","Base Loads",648000,1386349.56114687,0,0,0,0,0
"143","GAC","Cooling Loads",648000,7311259.12814511,0,0,1805316,0,0
"144","GAC","Heating Loads",648000,7737993.56348742,0,0,10641386.95,0,0
"145","Hearst Tower","Base Loads",839272,980892.42246928,475.999958123953,131533.2,0,0,0
"146","Hearst Tower","Cooling Loads",839272,6301784.14277355,4463.50004187605,755033.4,0,0,0
"147","Hearst Tower","Heating Loads",839272,4485197.01579871,14402.5296901173,648021.6,0,0,0
"148","Hearst Warehouse","Base Loads",106583,3600.55588063195,0,1828.25,0,0,0
"149","Hearst Warehouse","Cooling Loads",106583,17862.7413692218,0,477701.2,0,0,0
"150","Hearst Warehouse","Heating Loads",106583,33796.7963721475,0,3880423,0,0,0
"151","International Square","Base Loads",1167626,1669142.11527209,0,0,0,0,0
"152","International Square","Cooling Loads",1167626,9099803.8033938,0,0,0,0,0
"153","International Square","Heating Loads",1167626,11161362.3171445,0,0,0,0,0
